mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	Trill:trill
31	31	271/6	271/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	268							
31	31	136/3	136/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	269							
31	31	91/2	91/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	270							
31	31	137/3	137/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	271							
31	31	275/6	275/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	272							
31	31	46	46	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	273							
31	31	277/6	277/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	274							
31	31	139/3	139/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	275							
31	31	45	45	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	276							
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	277							
31	31	46	46	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	278							
32	32	93/2	93/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	279							
32	32	93/2	93/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	280							
32	32	140/3	140/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	281							
32	32	281/6	281/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	282							
32	32	47	47	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	283							
32	32	283/6	283/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	284							
32	32	142/3	142/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	285							
32	32	95/2	95/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	286							
32	32	143/3	143/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	287							
32	32	287/6	287/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	288							
33	33	48	48	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	289							
33	33	48	48	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	290							
33	33	289/6	289/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	291							
33	33	145/3	145/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	292							
33	33	97/2	97/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	293							
33	33	49	49	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	294							
33	33	48	48	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	295							
33	33	97/2	97/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	296							
33	33	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	297							
34	34	99/2	99/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	298							
34	34	99/2	99/2	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	299							
34	34	149/3	149/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	300							
34	34	299/6	299/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	301							
34	34	50	50	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	302							
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	303							
34	34	99/2	99/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	304							
34	34	149/3	149/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	305							
34	34	299/6	299/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	306							
34	34	50	50	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	307							
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	308							
35	35	51	51	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	309							
35	35	103/2	103/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	310							
35	35	51	51	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	311							
35	35	103/2	103/2	1.0	1/8	1/8	Chord	3/8	1	2	1/4		1/4	1	312							
35	35	51	51	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	313							
35	35	103/2	103/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	314							
35	35	52	52	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	315							
36	36	105/2	105/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	316							
36	36	211/4	211/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	317							
36	36	53	53	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	318							
36	36	213/4	213/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	319							
36	36	107/2	107/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	320							
36	36	215/4	215/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	321							
36	36	105/2	105/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	322							
36	36	105/2	105/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	323							
37	37	54	54	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	324							
37	37	54	54	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	325							
37	37	109/2	109/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	326							
37	37	55	55	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	327							
37	37	54	54	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	328							
38	38	111/2	111/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	329							
38	38	223/4	223/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	330							
38	38	56	56	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	331							
38	38	225/4	225/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	332							
38	38	113/2	113/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	333							
38	38	227/4	227/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	334							
38	38	111/2	111/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	335							
38	38	111/2	111/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	336							
38	38	56	56	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	337							
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	338							
39	39	57	57	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	339							
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	340							
39	39	115/2	115/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	341							
39	39	58	58	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	342	ornamentTrill						
39	39	57	57	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	343							
39	39	115/2	115/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	344							
39	39	58	58	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	345							
40	40	117/2	117/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	346							
40	40	59	59	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	347							
40	40	119/2	119/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	348							
40	40	117/2	117/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	349							
40	40	176/3	176/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	350							
40	40	353/6	353/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	351							
40	40	59	59	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	352							
40	40	355/6	355/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	353							
40	40	178/3	178/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	354							
40	40	119/2	119/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	355							
40	40	179/3	179/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	356							
40	40	359/6	359/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	357							
41	41	60	60	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	358							
41	41	121/2	121/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	359							
41	41	61	61	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	360							
41	41	60	60	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	361							
41	41	361/6	361/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	362							
41	41	181/3	181/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	363							
41	41	121/2	121/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	364							
41	41	182/3	182/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	365							
41	41	365/6	365/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	366							
41	41	61	61	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	367							
41	41	367/6	367/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	368							
41	41	184/3	184/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	369							
42	42	123/2	123/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	370							
42	42	62	62	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	371							
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	372							
42	42	123/2	123/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	373							
42	42	185/3	185/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	374							
42	42	371/6	371/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	375							
42	42	62	62	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	376							
42	42	373/6	373/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	377							
42	42	187/3	187/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	378							
42	42	125/2	125/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	379							
42	42	188/3	188/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	380							
42	42	377/6	377/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	381							
43	43	63	63	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	382							
43	43	379/6	379/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	383							
43	43	190/3	190/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	384							
43	43	127/2	127/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	385							
43	43	191/3	191/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	386							
43	43	383/6	383/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	387							
43	43	64	64	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	388							
43	43	385/6	385/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	389							
43	43	193/3	193/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	390							
43	43	63	63	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	391							
43	43	64	64	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	392							
44	44	129/2	129/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	393							
44	44	194/3	194/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	394							
44	44	389/6	389/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	395							
44	44	65	65	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	396							
44	44	131/2	131/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	397							
44	44	129/2	129/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	398							
44	44	65	65	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	399							
44	44	131/2	131/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	400							
45	45	66	66	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	401							
45	45	133/2	133/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	402							
45	45	67	67	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	403							
45	45	66	66	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	404							
45	45	397/6	397/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	405							
45	45	199/3	199/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	406							
45	45	133/2	133/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	407							
45	45	200/3	200/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	408							
45	45	401/6	401/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	409							
45	45	67	67	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	410							
45	45	403/6	403/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	411							
45	45	202/3	202/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	412							
46	46	135/2	135/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	413							
46	46	68	68	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	414							
46	46	137/2	137/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	415							
46	46	135/2	135/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	416							
46	46	203/3	203/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	417							
46	46	407/6	407/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	418							
46	46	68	68	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	419							
46	46	409/6	409/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	420							
46	46	205/3	205/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	421							
46	46	137/2	137/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	422							
46	46	206/3	206/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	423							
46	46	413/6	413/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	424							
47	47	69	69	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	425							
47	47	139/2	139/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	426							
47	47	70	70	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	427							
47	47	69	69	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	428							
47	47	415/6	415/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	429							
47	47	208/3	208/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	430							
47	47	139/2	139/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	431							
47	47	209/3	209/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	432							
47	47	419/6	419/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	433							
47	47	70	70	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	434							
47	47	421/6	421/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	435							
47	47	211/3	211/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	436							
48	48	141/2	141/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	437							
48	48	212/3	212/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	438							
48	48	425/6	425/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	439							
48	48	71	71	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	440							
48	48	427/6	427/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	441							
48	48	214/3	214/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	442							
48	48	143/2	143/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	443							
48	48	215/3	215/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	444							
48	48	431/6	431/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	445							
48	48	141/2	141/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	446							
48	48	143/2	143/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	447							
49	49	72	72	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	448							
49	49	433/6	433/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	449							
49	49	217/3	217/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	450							
49	49	145/2	145/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	451							
49	49	73	73	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	452	ornamentTrill						
49	49	72	72	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	453							
49	49	145/2	145/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	454							
49	49	73	73	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	455							
50	50	147/2	147/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	456							
50	50	147/2	147/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	457							
51	51	75	75	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	458							
51	51	151/2	151/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	459							
51	51	76	76	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	460							
51	51	75	75	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	461							
51	51	451/6	451/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	462							
51	51	226/3	226/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	463							
51	51	151/2	151/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	464							
51	51	227/3	227/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	465							
51	51	455/6	455/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	466							
51	51	76	76	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	467							
51	51	457/6	457/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	468							
51	51	229/3	229/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	469							
52	52	153/2	153/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	470							
52	52	77	77	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	471							
52	52	155/2	155/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	472							
52	52	153/2	153/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	473							
52	52	230/3	230/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	474							
52	52	461/6	461/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	475							
52	52	77	77	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	476							
52	52	463/6	463/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	477							
52	52	232/3	232/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	478							
52	52	155/2	155/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	479							
52	52	233/3	233/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	480							
52	52	467/6	467/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	481							
53	53	78	78	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	482							
53	53	469/6	469/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	483							
53	53	235/3	235/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	484							
53	53	157/2	157/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	485							
53	53	236/3	236/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	486							
53	53	473/6	473/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	487							
53	53	79	79	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	488							
53	53	475/6	475/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	489							
53	53	238/3	238/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	490							
53	53	78	78	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	491							
54	54	159/2	159/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	492							
54	54	239/3	239/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	493							
54	54	479/6	479/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	494							
54	54	80	80	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	495							
54	54	481/6	481/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	496							
54	54	241/3	241/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	497							
54	54	161/2	161/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	498							
54	54	242/3	242/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	499							
54	54	485/6	485/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	500							
55	55	81	81	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	501							
55	55	163/2	163/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	502							
55	55	82	82	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	503							
55	55	81	81	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	504							
55	55	487/6	487/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	505							
55	55	244/3	244/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	506							
55	55	163/2	163/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	507							
55	55	245/3	245/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	508							
55	55	491/6	491/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	509							
55	55	82	82	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	510							
55	55	493/6	493/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	511							
55	55	247/3	247/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	512							
56	56	165/2	165/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	513							
56	56	83	83	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	514							
56	56	167/2	167/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	515							
56	56	165/2	165/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	516							
56	56	248/3	248/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	517							
56	56	497/6	497/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	518							
56	56	83	83	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	519							
56	56	499/6	499/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	520							
56	56	250/3	250/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	521							
56	56	167/2	167/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	522							
56	56	251/3	251/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	523							
56	56	503/6	503/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	524							
57	57	84	84	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	525							
57	57	505/6	505/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	526							
57	57	253/3	253/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	527							
57	57	169/2	169/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	528							
57	57	254/3	254/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	529							
57	57	509/6	509/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	530							
57	57	85	85	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	531							
57	57	511/6	511/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	532							
57	57	256/3	256/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	533							
57	57	84	84	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	534							
58	58	171/2	171/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	535							
58	58	257/3	257/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	536							
