mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Vibrato:guitarVibratoWide
8	8	93/4	93/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	129									
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	130									
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	131									
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	132									
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	133	ornamentTrill								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	134									
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	135									
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137									
9	9	24	24	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	138									
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	139									
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	140									
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	141									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	142									
9	9	97/4	97/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	143									
9	9	49/2	49/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	144									
9	9	99/4	99/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	145									
9	9	25	25	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	146									
9	9	101/4	101/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	147									
9	9	51/2	51/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	148									
9	9	103/4	103/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	149									
9	9	26	26	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	150									
9	9	105/4	105/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	151									
9	9	53/2	53/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	152									
9	9	107/4	107/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	153									
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	154									
